n, time
47000,0.007
47100,0.008
47200,0.007
47300,0.008
47400,0.007
47500,0.008
47600,0.007
47700,0.008
47800,0.007
47900,0.008
48000,0.007
48100,0.009
48200,0.006
48300,0.009
48400,0.007
48500,0.011
48600,0.007
48700,0.008
48800,0.007
48900,0.008
49000,0.007
49100,0.008
49200,0.007
49300,0.008
49400,0.007
49500,0.008
49600,0.008
49700,0.009
49800,0.007
49900,0.008
50000,0.007
50100,0.008
50200,0.007
50300,0.008
50400,0.008
50500,0.008
50600,0.007
50700,0.008
50800,0.008
50900,0.009
51000,0.01
51100,0.007
51200,0.014
51300,0.017
51400,0.012
51500,0.008
51600,0.009
51700,0.008
51800,0.009
51900,0.009
52000,0.008
52100,0.009
52200,0.007
52300,0.008
52400,0.007
52500,0.008
52600,0.008
52700,0.009
52800,0.008
52900,0.008
53000,0.008
53100,0.008
53200,0.007
53300,0.008
53400,0.008
53500,0.008
53600,0.008
53700,0.007
53800,0.009
53900,0.009
54000,0.009
54100,0.008
54200,0.009
54300,0.007
54400,0.009
54500,0.007
54600,0.009
54700,0.007
54800,0.008
54900,0.009
55000,0.007
55100,0.009
55200,0.008
55300,0.009
55400,0.008
55500,0.009
55600,0.009
55700,0.009
55800,0.009
55900,0.008
56000,0.009
56100,0.008
56200,0.009
56300,0.008
56400,0.009
56500,0.01
56600,0.008
56700,0.012
56800,0.009
56900,0.009
57000,0.01
57100,0.009
57200,0.009
57300,0.008
57400,0.01
57500,0.012
57600,0.008
57700,0.009
57800,0.008
57900,0.01
58000,0.01
58100,0.008
58200,0.01
58300,0.01
58400,0.01
58500,0.01
58600,0.008
58700,0.01
58800,0.008
58900,0.009
59000,0.01
59100,0.009
59200,0.01
59300,0.008
59400,0.011
59500,0.011
59600,0.009
59700,0.01
59800,0.01
59900,0.009
60000,0.009
60100,0.009
60200,0.014
60300,0.014
60400,0.008
60500,0.012
60600,0.01
60700,0.008
60800,0.008
60900,0.01
61000,0.007
61100,0.01
61200,0.008
61300,0.011
61400,0.01
61500,0.006
61600,0.01
61700,0.014
61800,0.011
61900,0.011
62000,0.01
62100,0.009
62200,0.011
62300,0.012
62400,0.012
62500,0.011
62600,0.01
62700,0.011
62800,0.012
62900,0.011
63000,0.01
63100,0.01
63200,0.012
63300,0.011
63400,0.012
63500,0.012
63600,0.012
63700,0.011
63800,0.012
63900,0.011
64000,0.012
64100,0.011
64200,0.01
64300,0.012
64400,0.01
64500,0.013
64600,0.011
64700,0.011
64800,0.012
64900,0.011
65000,0.011
65100,0.012
65200,0.011
65300,0.013
65400,0.012
65500,0.012
65600,0.01
65700,0.013
65800,0.013
65900,0.013
66000,0.011
66100,0.011
66200,0.012
66300,0.013
66400,0.01
66500,0.013
66600,0.014
66700,0.012
66800,0.012
66900,0.012
67000,0.012
67100,0.012
67200,0.012
67300,0.012
67400,0.012
67500,0.011
67600,0.013
67700,0.013
67800,0.013
67900,0.013
68000,0.012
68100,0.01
68200,0.014
68300,0.013
68400,0.012
68500,0.011
68600,0.012
68700,0.013
68800,0.012
68900,0.012
69000,0.014
69100,0.012
69200,0.011
69300,0.012
69400,0.012
69500,0.011
69600,0.012
69700,0.01
69800,0.013
69900,0.013
70000,0.012
70100,0.012
70200,0.012
70300,0.013
70400,0.014
70500,0.013
70600,0.011
70700,0.01
70800,0.014
70900,0.013
71000,0.011
71100,0.011
71200,0.011
71300,0.015
71400,0.014
71500,0.012
71600,0.012
71700,0.012
71800,0.011
71900,0.011
72000,0.012
72100,0.013
72200,0.012
72300,0.012
72400,0.013
72500,0.012
72600,0.012
72700,0.011
72800,0.011
72900,0.013
73000,0.013
73100,0.014
73200,0.013
73300,0.011
73400,0.014
73500,0.013
73600,0.013
73700,0.012
73800,0.012
73900,0.014
74000,0.012
74100,0.012
74200,0.012
74300,0.013
74400,0.012
74500,0.013
74600,0.012
74700,0.011
74800,0.013
74900,0.012
75000,0.013
75100,0.012
75200,0.011
75300,0.014
75400,0.013
75500,0.013
75600,0.012
75700,0.012
75800,0.012
75900,0.012
76000,0.013
76100,0.013
76200,0.013
76300,0.013
76400,0.013
76500,0.012
76600,0.012
76700,0.011
76800,0.013
76900,0.014
77000,0.013
77100,0.013
77200,0.011
77300,0.013
77400,0.013
77500,0.017
77600,0.015
77700,0.013
77800,0.012
77900,0.017
78000,0.013
78100,0.013
78200,0.014
78300,0.013
78400,0.014
78500,0.02
78600,0.017
78700,0.014
78800,0.015
78900,0.015
79000,0.013
79100,0.014
79200,0.013
79300,0.015
79400,0.014
79500,0.013
79600,0.012
79700,0.012
79800,0.013
79900,0.02
80000,0.018
80100,0.017
80200,0.014
80300,0.014
80400,0.013
80500,0.012
80600,0.013
80700,0.012
80800,0.017
80900,0.014
81000,0.012
81100,0.014
81200,0.015
81300,0.013
81400,0.012
81500,0.013
81600,0.013
81700,0.013
81800,0.013
81900,0.014
82000,0.014
82100,0.014
82200,0.013
82300,0.015
82400,0.015
82500,0.014
82600,0.014
82700,0.014
82800,0.012
82900,0.014
83000,0.014
83100,0.014
83200,0.013
83300,0.014
83400,0.013
83500,0.014
83600,0.013
83700,0.014
83800,0.013
83900,0.015
84000,0.014
84100,0.015
84200,0.015
84300,0.016
84400,0.015
84500,0.013
84600,0.015
84700,0.015
84800,0.019
84900,0.024
85000,0.017
85100,0.016
85200,0.017
85300,0.017
85400,0.017
85500,0.019
85600,0.017
85700,0.018
85800,0.016
85900,0.017
86000,0.015
86100,0.015
86200,0.015
86300,0.014
86400,0.015
86500,0.014
86600,0.017
86700,0.016
86800,0.017
86900,0.017
87000,0.016
87100,0.014
87200,0.015
87300,0.015
87400,0.015
87500,0.015
87600,0.016
87700,0.015
87800,0.015
87900,0.015
88000,0.015
88100,0.015
88200,0.016
88300,0.015
88400,0.015
88500,0.017
88600,0.015
88700,0.015
88800,0.015
88900,0.015
89000,0.016
89100,0.015
89200,0.015
89300,0.015
89400,0.015
89500,0.014
89600,0.014
89700,0.015
89800,0.015
89900,0.016
90000,0.016
90100,0.015
90200,0.015
90300,0.016
90400,0.015
90500,0.015
90600,0.016
90700,0.016
90800,0.015
90900,0.015
91000,0.016
91100,0.015
91200,0.023
91300,0.022
91400,0.018
91500,0.014
91600,0.016
91700,0.015
91800,0.016
91900,0.015
92000,0.016
92100,0.017
92200,0.017
92300,0.017
92400,0.017
92500,0.017
92600,0.017
92700,0.015
92800,0.015
92900,0.015
93000,0.016
93100,0.017
93200,0.018
93300,0.017
93400,0.019
93500,0.015
93600,0.016
93700,0.016
93800,0.016
93900,0.016
94000,0.016
94100,0.016
94200,0.017
94300,0.015
94400,0.018
94500,0.017
94600,0.016
94700,0.017
94800,0.016
94900,0.017
95000,0.016
95100,0.016
95200,0.017
95300,0.016
95400,0.018
95500,0.015
95600,0.017
95700,0.016
95800,0.017
95900,0.016
96000,0.017
96100,0.016
96200,0.016
96300,0.019
96400,0.018
96500,0.018
96600,0.016
96700,0.019
96800,0.019
96900,0.015
97000,0.016
97100,0.015
97200,0.018
97300,0.016
97400,0.016
97500,0.017
97600,0.017
97700,0.017
97800,0.016
97900,0.016
98000,0.016
98100,0.017
98200,0.016
98300,0.016
98400,0.016
98500,0.016
98600,0.016
98700,0.016
98800,0.019
98900,0.018
99000,0.015
99100,0.017
99200,0.019
99300,0.017
99400,0.019
99500,0.019
99600,0.017
99700,0.016
99800,0.018
99900,0.018
100000,0.018
