n, time
35700, 1.847000
35800, 1.870000
35900, 1.796000
36000, 1.872000
36100, 1.844000
36200, 1.849000
36300, 1.850000
36400, 1.848000
36500, 1.879000
36600, 1.787000
36700, 1.770000
36800, 1.781000
36900, 1.789000
37000, 1.798000
37100, 1.949000
37200, 1.906000
37300, 1.891000
37400, 1.937000
37500, 1.891000
37600, 1.896000
37700, 1.909000
37800, 2.204000
37900, 2.264000
38000, 2.602000
38100, 2.250000
38200, 2.344000
38300, 2.272000
38400, 2.189000
38500, 2.205000
38600, 2.231000
38700, 2.205000
38800, 2.116000
38900, 2.269000
39000, 2.395000
39100, 2.109000
39200, 2.034000
39300, 2.080000
39400, 2.075000
39500, 2.099000
39600, 2.119000
39700, 2.132000
39800, 2.400000
39900, 2.358000
40000, 2.438000
40100, 2.678000
40200, 2.254000
40300, 2.138000
40400, 2.222000
40500, 2.218000
40600, 2.230000
40700, 2.252000
40800, 2.229000
40900, 2.224000
41000, 2.315000
41100, 2.364000
41200, 2.349000
41300, 2.335000
41400, 2.308000
41500, 2.296000
41600, 2.283000
41700, 2.371000
41800, 2.363000
41900, 2.388000
42000, 2.376000
42100, 2.411000
42200, 2.419000
42300, 2.417000
42400, 2.420000
42500, 2.441000
42600, 2.457000
42700, 2.452000
42800, 2.409000
42900, 2.468000
43000, 2.483000
43100, 2.516000
43200, 2.523000
43300, 2.502000
43400, 2.506000
43500, 2.509000
43600, 2.546000
43700, 2.535000
43800, 2.717000
43900, 2.832000
44000, 2.739000
44100, 2.719000
44200, 2.671000
44300, 2.750000
44400, 2.798000
44500, 2.744000
44600, 2.664000
44700, 2.675000
44800, 2.728000
44900, 2.792000
45000, 2.783000
45100, 2.867000
45200, 3.131000
45300, 3.091000
45400, 2.937000
45500, 3.377000
45600, 4.098000
45700, 4.155000
45800, 3.765000
45900, 4.904000
46000, 4.518000
46100, 3.487000
46200, 4.431000
46300, 3.262000
46400, 3.129000
46500, 3.272000
46600, 3.187000
46700, 3.167000
46800, 3.126000
46900, 3.159000
47000, 3.147000
47100, 3.153000
47200, 3.117000
47300, 3.088000
47400, 3.122000
47500, 3.330000
47600, 3.095000
47700, 3.078000
47800, 3.368000
47900, 3.825000
48000, 3.411000
48100, 3.289000
48200, 3.357000
48300, 3.351000
48400, 3.295000
48500, 3.627000
48600, 3.268000
48700, 3.440000
48800, 3.341000
48900, 3.748000
49000, 3.661000
49100, 4.024000
49200, 3.636000
49300, 3.603000
49400, 3.766000
49500, 3.843000
49600, 3.611000
49700, 3.976000
49800, 4.171000
49900, 3.496000
50000, 3.738000
50100, 4.015000
50200, 3.601000
50300, 3.411000
50400, 3.446000
50500, 3.581000
50600, 3.504000
50700, 3.540000
50800, 3.521000
50900, 3.543000
51000, 3.563000
51100, 3.606000
51200, 3.752000
51300, 3.825000
51400, 3.845000
51500, 3.805000
51600, 4.319000
51700, 3.786000
51800, 4.272000
51900, 3.795000
52000, 4.039000
52100, 3.786000
52200, 4.035000
52300, 4.092000
52400, 3.969000
52500, 4.480000
52600, 3.977000
52700, 3.903000
52800, 4.072000
52900, 3.963000
53000, 4.035000
53100, 4.260000
53200, 4.454000
53300, 4.111000
53400, 4.151000
53500, 4.046000
53600, 4.158000
53700, 4.127000
53800, 4.269000
53900, 4.099000
54000, 4.015000
54100, 4.512000
54200, 4.188000
54300, 5.824000
54400, 5.921000
54500, 5.723000
54600, 5.938000
54700, 5.028000
54800, 4.688000
54900, 6.246000
55000, 5.279000
55100, 4.985000
55200, 4.241000
55300, 4.424000
55400, 4.940000
55500, 4.994000
55600, 4.715000
55700, 4.728000
55800, 4.617000
55900, 4.851000
56000, 4.648000
56100, 5.152000
56200, 5.081000
56300, 4.810000
56400, 4.604000
56500, 4.474000
56600, 4.554000
56700, 4.602000
56800, 4.508000
56900, 4.866000
57000, 4.778000
57100, 4.820000
57200, 4.778000
57300, 5.195000
57400, 4.797000
57500, 5.633000
57600, 5.518000
57700, 4.704000
57800, 5.163000
57900, 5.271000
58000, 4.969000
58100, 4.578000
58200, 4.635000
58300, 4.727000
58400, 4.926000
58500, 4.971000
58600, 5.586000
58700, 4.992000
58800, 4.878000
58900, 4.834000
59000, 5.097000
59100, 4.931000
59200, 5.135000
