n, time
35700, 0.029000
35800, 0.044000
35900, 0.039000
36000, 0.019000
36100, 0.070000
36200, 0.062000
36300, 0.088000
36400, 0.023000
36500, 0.035000
36600, 0.028000
36700, 0.099000
36800, 0.075000
36900, 0.080000
37000, 0.032000
37100, 0.063000
37200, 0.045000
37300, 0.127000
37400, 0.040000
37500, 0.060000
37600, 0.027000
37700, 0.046000
37800, 0.066000
37900, 0.048000
38000, 0.119000
38100, 0.055000
38200, 0.069000
38300, 0.029000
38400, 0.073000
38500, 0.043000
38600, 0.058000
38700, 0.061000
38800, 0.027000
38900, 0.098000
39000, 0.057000
39100, 0.052000
39200, 0.063000
39300, 0.043000
39400, 0.049000
39500, 0.064000
39600, 0.036000
39700, 0.027000
39800, 0.055000
39900, 0.045000
40000, 0.041000
40100, 0.041000
40200, 0.039000
40300, 0.051000
40400, 0.029000
40500, 0.069000
40600, 0.066000
40700, 0.080000
40800, 0.048000
40900, 0.053000
41000, 0.060000
41100, 0.043000
41200, 0.042000
41300, 0.037000
41400, 0.056000
41500, 0.084000
41600, 0.040000
41700, 0.033000
41800, 0.029000
41900, 0.054000
42000, 0.071000
42100, 0.046000
42200, 0.039000
42300, 0.040000
42400, 0.039000
42500, 0.069000
42600, 0.063000
42700, 0.074000
42800, 0.049000
42900, 0.090000
43000, 0.048000
43100, 0.253000
43200, 0.091000
43300, 0.125000
43400, 0.062000
43500, 0.032000
43600, 0.039000
43700, 0.063000
43800, 0.043000
43900, 0.044000
44000, 0.068000
44100, 0.060000
44200, 0.066000
44300, 0.048000
44400, 0.052000
44500, 0.052000
44600, 0.083000
44700, 0.062000
44800, 0.079000
44900, 0.082000
45000, 0.033000
45100, 0.043000
45200, 0.051000
45300, 0.096000
45400, 0.059000
45500, 0.183000
45600, 0.101000
45700, 0.062000
45800, 0.062000
45900, 0.088000
46000, 0.031000
46100, 0.044000
46200, 0.100000
46300, 0.036000
46400, 0.064000
46500, 0.078000
46600, 0.063000
46700, 0.043000
46800, 0.047000
46900, 0.191000
47000, 0.129000
47100, 0.047000
47200, 0.047000
47300, 0.043000
47400, 0.061000
47500, 0.095000
47600, 0.046000
47700, 0.100000
47800, 0.035000
47900, 0.052000
48000, 0.136000
48100, 0.083000
48200, 0.077000
48300, 0.218000
48400, 0.038000
48500, 0.190000
48600, 0.059000
48700, 0.202000
48800, 0.036000
48900, 0.129000
49000, 0.036000
49100, 0.065000
49200, 0.045000
49300, 0.074000
49400, 0.053000
49500, 0.066000
49600, 0.278000
49700, 0.049000
49800, 0.070000
49900, 0.106000
50000, 0.070000
50100, 0.051000
50200, 0.058000
50300, 0.175000
50400, 0.046000
50500, 0.076000
50600, 0.321000
50700, 0.057000
50800, 0.142000
50900, 0.056000
51000, 0.110000
51100, 0.082000
51200, 0.052000
51300, 0.051000
51400, 0.120000
51500, 0.119000
51600, 0.152000
51700, 0.136000
51800, 0.063000
51900, 0.097000
52000, 0.054000
52100, 0.257000
52200, 0.144000
52300, 0.065000
52400, 0.054000
52500, 0.142000
52600, 0.124000
52700, 0.090000
52800, 0.054000
52900, 0.077000
53000, 0.507000
53100, 0.051000
53200, 0.112000
53300, 0.044000
53400, 0.056000
53500, 0.103000
53600, 0.066000
53700, 0.059000
53800, 0.073000
53900, 0.072000
54000, 0.054000
54100, 0.106000
54200, 0.106000
54300, 0.063000
54400, 0.156000
54500, 0.050000
54600, 0.147000
54700, 0.077000
54800, 0.092000
54900, 0.042000
55000, 0.036000
55100, 0.060000
55200, 0.084000
55300, 0.128000
55400, 0.075000
55500, 0.085000
55600, 0.142000
55700, 0.034000
55800, 0.072000
55900, 0.111000
56000, 0.064000
56100, 0.063000
56200, 0.075000
56300, 0.047000
56400, 0.386000
56500, 0.077000
56600, 0.070000
56700, 0.101000
56800, 0.076000
56900, 0.156000
57000, 0.101000
57100, 0.138000
57200, 0.195000
57300, 0.074000
57400, 0.148000
57500, 0.159000
57600, 0.087000
57700, 0.078000
57800, 0.156000
57900, 0.566000
58000, 0.052000
58100, 0.094000
58200, 0.076000
58300, 0.107000
58400, 0.061000
58500, 0.113000
58600, 0.064000
58700, 0.046000
58800, 0.106000
58900, 0.076000
59000, 0.057000
59100, 0.118000
59200, 0.165000
59300, 0.175000
59400, 0.133000
59500, 0.040000
59600, 0.079000
59700, 0.137000
59800, 0.284000
59900, 0.069000
60000, 0.055000
60100, 0.218000
60200, 0.108000
60300, 0.210000
60400, 0.056000
60500, 0.051000
60600, 0.137000
60700, 0.063000
60800, 0.226000
60900, 0.072000
61000, 0.099000
61100, 0.230000
61200, 0.059000
61300, 0.082000
61400, 0.069000
61500, 0.140000
61600, 0.253000
61700, 0.060000
61800, 0.054000
61900, 0.210000
62000, 0.155000
62100, 0.170000
62200, 0.136000
62300, 0.183000
62400, 0.519000
62500, 0.135000
62600, 0.112000
62700, 0.089000
62800, 0.196000
62900, 0.111000
63000, 0.097000
63100, 0.286000
63200, 0.099000
63300, 0.079000
63400, 0.095000
63500, 0.157000
63600, 0.120000
63700, 0.090000
63800, 0.142000
63900, 0.295000
64000, 0.091000
64100, 0.082000
64200, 0.160000
64300, 0.091000
64400, 0.150000
64500, 0.116000
64600, 0.115000
64700, 0.053000
64800, 0.056000
64900, 0.125000
65000, 0.296000
65100, 0.082000
65200, 0.129000
65300, 0.095000
65400, 0.123000
65500, 0.115000
65600, 0.163000
65700, 0.124000
65800, 0.147000
65900, 0.142000
66000, 0.086000
66100, 0.095000
66200, 0.472000
66300, 0.167000
66400, 0.106000
66500, 0.083000
66600, 0.230000
66700, 0.115000
66800, 0.122000
66900, 0.083000
67000, 0.161000
67100, 0.071000
67200, 0.090000
67300, 0.170000
